iso3,month,hdx_alert_level,hdx_value
CAF,2022-09-01,['High concern'],0.13
CAF,2023-02-01,['Medium concern'],13.0
CAF,2023-06-01,['Medium concern'],5.2
CAF,2023-09-01,['High concern'],0.1
CAF,2024-03-01,['Medium concern'],109.0
CAF,2024-08-01,['Medium concern'],14622.580645161304
CAF,2024-10-01,['High concern'],0.07
CAF,2025-01-01,['Medium concern'],20642.903225806465
CAF,2025-02-01,['Medium concern'],169.0
CAF,2025-09-01,['High concern'],0.07
CAN,2023-05-01,['High concern'],51156.83333333333
CHL,2026-01-01,['High concern'],50953.0
CHN,2019-08-01,['Medium concern'],1991389.8948717949
CHN,2021-07-01,"['Medium concern', 'High concern']",4008840.8124399334
CHN,2022-09-01,['Medium concern'],2017579.947368421
CHN,2023-08-01,['Medium concern'],2336179.8
CHN,2025-07-01,['Medium concern'],958127.9999999998
CIV,2000-10-01,['High concern'],226.0
CIV,2002-10-01,['Medium concern'],118.0
CIV,2003-03-01,['High concern'],238.0
CIV,2004-06-01,['Medium concern'],170.0
CIV,2011-03-01,['High concern'],108.0
CIV,2017-09-01,['Medium concern'],1.0
CIV,2020-10-01,['Medium concern'],14670.0
CIV,2023-11-01,['Medium concern'],18.0
CIV,2024-08-01,['Medium concern'],1.0
CMR,2008-06-01,['High concern'],100.0
CMR,2014-06-01,['High concern'],163.0
CMR,2014-12-01,['High concern'],413.0
CMR,2018-04-01,['Medium concern'],133.0
CMR,2018-05-01,['High concern'],179.0
CMR,2019-10-01,['Medium concern'],5000.0
CMR,2020-01-01,['High concern'],281.0
CMR,2020-10-01,['High concern'],36.0
CMR,2021-04-01,"['Medium concern', 'High concern']",17500.0
CMR,2021-05-01,['Medium concern'],4.1
CMR,2021-09-01,['Medium concern'],11.0
CMR,2021-11-01,['High concern'],54.0
CMR,2021-12-01,['High concern'],10967.000000000002
CMR,2022-06-01,['Medium concern'],199.0
CMR,2022-11-01,['Medium concern'],14.0
CMR,2023-09-01,['Medium concern'],4.1
CMR,2023-11-01,"['Medium concern', 'High concern']",506.0
CMR,2024-08-01,['High concern'],80439.25925925927
CMR,2024-11-01,['Medium concern'],12191.999999999998
CMR,2025-08-01,['Medium concern'],4.0
CMR,2026-02-01,['Medium concern'],9979.0
COD,1998-08-01,['Medium concern'],507.0
COD,1999-08-01,['Medium concern'],1951.0
COD,2001-10-01,['Medium concern'],436.0
