iso3,month,risk_3,risk_12,logfat_risk_3,logfat_risk_12
AFG,2010-01-01,0.9838778411395378,0.987249579946982,6.844159394402091,8.102875632697952
AFG,2010-02-01,0.9917980472242676,0.9880437166319518,6.883799947705285,8.129857046691352
AFG,2010-03-01,0.9954891467942264,0.9891774948240732,6.898818124634744,8.13134636289085
AFG,2010-04-01,0.9997916666666666,0.9921891803730036,6.93950973971586,8.149256996602755
AFG,2010-05-01,0.998218080910525,0.9927137799564268,6.938100649478165,8.141677269705783
AFG,2010-06-01,0.9965600529100532,0.9916259529227796,6.991057246953257,8.175556151561642
AFG,2010-07-01,0.9991582722832724,0.9956051527448584,6.998812806874122,8.151905758461199
AFG,2010-08-01,0.9987292250233428,0.9945856397214756,6.976432925682419,8.179379684794203
AFG,2010-09-01,0.9994545454545456,0.9961626688723464,6.979635996771138,8.188470429287003
AFG,2010-10-01,0.999101454101454,0.9935681695755224,7.020296154727451,8.180320234743542
AFG,2010-11-01,0.9984126984126984,0.9975161154205272,7.000086562300315,8.189869021057953
AFG,2010-12-01,0.9998039215686274,0.9968311965811965,6.964041564650263,8.163024597663927
AFG,2011-01-01,0.9988721264367816,0.9967616892911012,6.998725995843516,8.18468452460857
AFG,2011-02-01,0.9985111111111112,0.9972817001444454,6.979011156533352,8.162340320934295
AFG,2011-03-01,0.9994276629570746,0.9982055134314262,6.979048219373676,8.160065075724349
AFG,2011-04-01,0.9998148148148148,0.9963766728913788,7.009420194613647,8.20600959671405
AFG,2011-05-01,0.99806696699358,0.997358746130031,7.046906071367844,8.253698713452355
AFG,2011-06-01,0.9969697917178568,0.996719654528478,7.04280488545101,8.227021557555988
AFG,2011-07-01,0.9970147354992688,0.9988971755368816,7.013387714872647,8.239683601393772
AFG,2011-08-01,0.9958274234913688,0.99884126984127,7.038216765262852,8.272762241046138
AFG,2011-09-01,0.997186120233534,0.9978832866479926,7.053742573117015,8.265808993049033
AFG,2011-10-01,0.9913261975747364,0.9982892635686752,7.020006484024364,8.256999572754362
AFG,2011-11-01,0.9858137620739144,0.996511282290694,7.038605380371293,8.27406872765964
AFG,2011-12-01,0.9890728494578052,0.998087912087912,7.05099636546831,8.280049646297217
AFG,2012-01-01,0.9885881521885928,0.998217535259718,6.99160642305403,8.238521687081699
