iso3,month,event_type,sub_event_type,disorder_type,events,fatalities
AGO,1996-12-01,['Violence against civilians'],['Attack'],['Political violence'],2,40
CAF,1996-12-01,['Battles'],['Armed clash'],['Political violence'],2,4
DZA,1996-12-01,['Violence against civilians'],['Attack'],['Political violence'],3,9
EGY,1996-12-01,['Battles'],['Armed clash'],['Political violence'],1,1
LBY,1996-12-01,['Violence against civilians'],['Attack'],['Political violence'],1,8
RWA,1996-12-01,['Battles'],['Armed clash'],['Political violence'],1,1
SDN,1996-12-01,['Battles'],['Armed clash'],['Political violence'],2,0
SLE,1996-12-01,"['Battles', 'Strategic developments', 'Violence against civilians']","['Government regains territory', 'Looting/property destruction', 'Armed clash', 'Headquarters or base established', 'Non-violent transfer of territory', 'Attack']","['Political violence', 'Strategic developments']",13,0
UGA,1996-12-01,['Battles'],['Armed clash'],['Political violence'],2,9
AGO,1997-01-01,"['Strategic developments', 'Violence against civilians']","['Looting/property destruction', 'Attack']","['Strategic developments', 'Political violence']",2,0
BDI,1997-01-01,"['Violence against civilians', 'Strategic developments', 'Battles']","['Attack', 'Looting/property destruction', 'Armed clash']","['Political violence', 'Strategic developments']",19,796
CAF,1997-01-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Government regains territory', 'Attack']",['Political violence'],5,10
CIV,1997-01-01,"['Protests', 'Violence against civilians']","['Peaceful protest', 'Protest with intervention', 'Attack']","['Demonstrations', 'Political violence']",4,2
COG,1997-01-01,"['Battles', 'Protests']","['Non-state actor overtakes territory', 'Protest with intervention', 'Armed clash']","['Political violence', 'Demonstrations']",3,12
DZA,1997-01-01,"['Battles', 'Explosions/Remote violence', 'Violence against civilians']","['Armed clash', 'Remote explosive/landmine/IED', 'Attack']",['Political violence'],39,456
EGY,1997-01-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],4,5
ETH,1997-01-01,['Strategic developments'],['Change to group/activity'],['Strategic developments'],1,0
KEN,1997-01-01,"['Violence against civilians', 'Protests']","['Attack', 'Peaceful protest']","['Political violence', 'Demonstrations']",4,6
LBR,1997-01-01,['Battles'],['Armed clash'],['Political violence'],1,0
MAR,1997-01-01,['Riots'],['Mob violence'],['Political violence'],1,0
MLI,1997-01-01,['Protests'],['Protest with intervention'],['Demonstrations'],1,0
NAM,1997-01-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
NER,1997-01-01,"['Battles', 'Riots', 'Protests', 'Violence against civilians']","['Armed clash', 'Mob violence', 'Violent demonstration', 'Peaceful protest', 'Attack']","['Political violence', 'Demonstrations']",7,15
NGA,1997-01-01,"['Battles', 'Riots', 'Strategic developments', 'Violence against civilians', 'Explosions/Remote violence', 'Protests']","['Armed clash', 'Mob violence', 'Looting/property destruction', 'Violent demonstration', 'Attack', 'Remote explosive/landmine/IED', 'Peaceful protest']","['Political violence', 'Strategic developments', 'Demonstrations']",14,11
RWA,1997-01-01,"['Battles', 'Violence against civilians', 'Explosions/Remote violence']","['Armed clash', 'Attack', 'Grenade']",['Political violence'],12,145
SDN,1997-01-01,"['Battles', 'Explosions/Remote violence', 'Strategic developments', 'Violence against civilians', 'Protests', 'Riots']","['Armed clash', 'Government regains territory', 'Non-state actor overtakes territory', 'Air/drone strike', 'Non-violent transfer of territory', 'Attack', 'Excessive force against protesters', 'Peaceful protest', 'Protest with intervention', 'Shelling/artillery/missile attack', 'Violent demonstration']","['Political violence', 'Strategic developments', 'Political violence; Demonstrations', 'Demonstrations']",53,1860
SLE,1997-01-01,"['Battles', 'Strategic developments', 'Violence against civilians']","['Government regains territory', 'Non-state actor overtakes territory', 'Headquarters or base established', 'Looting/property destruction', 'Non-violent transfer of territory', 'Attack', 'Sexual violence', 'Armed clash']","['Political violence', 'Strategic developments']",36,40
TGO,1997-01-01,['Protests'],['Protest with intervention'],['Demonstrations'],1,0
UGA,1997-01-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Abduction/forced disappearance']",['Political violence'],3,7
ZAF,1997-01-01,"['Strategic developments', 'Explosions/Remote violence', 'Protests']","['Disrupted weapons use', 'Remote explosive/landmine/IED', 'Peaceful protest']","['Strategic developments', 'Political violence', 'Demonstrations']",3,4
AGO,1997-02-01,"['Battles', 'Violence against civilians', 'Strategic developments', 'Protests', 'Riots']","['Armed clash', 'Attack', 'Government regains territory', 'Looting/property destruction', 'Peaceful protest', 'Violent demonstration']","['Political violence', 'Strategic developments', 'Demonstrations']",16,1027
BDI,1997-02-01,"['Strategic developments', 'Violence against civilians', 'Battles']","['Looting/property destruction', 'Attack', 'Armed clash']","['Strategic developments', 'Political violence']",10,230
BFA,1997-02-01,['Protests'],['Protest with intervention'],['Demonstrations'],4,0
CAF,1997-02-01,"['Battles', 'Riots', 'Strategic developments']","['Armed clash', 'Mob violence', 'Violent demonstration', 'Change to group/activity']","['Political violence', 'Demonstrations', 'Strategic developments']",5,1
CMR,1997-02-01,['Battles'],['Armed clash'],['Political violence'],1,0
COD,1997-02-01,"['Battles', 'Strategic developments']","['Non-state actor overtakes territory', 'Armed clash', 'Change to group/activity']","['Political violence', 'Strategic developments']",3,0
COG,1997-02-01,"['Battles', 'Strategic developments']","['Armed clash', 'Non-violent transfer of territory']","['Political violence', 'Strategic developments']",2,0
DZA,1997-02-01,['Violence against civilians'],['Attack'],['Political violence'],8,145
EGY,1997-02-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],3,15
ERI,1997-02-01,['Battles'],['Armed clash'],['Political violence'],1,100
ETH,1997-02-01,"['Strategic developments', 'Explosions/Remote violence']","['Headquarters or base established', 'Grenade']","['Strategic developments', 'Political violence']",2,2
GMB,1997-02-01,['Riots'],['Mob violence'],['Political violence'],1,0
KEN,1997-02-01,"['Explosions/Remote violence', 'Protests', 'Riots', 'Violence against civilians']","['Remote explosive/landmine/IED', 'Peaceful protest', 'Protest with intervention', 'Violent demonstration', 'Attack']","['Political violence', 'Demonstrations']",8,9
LBR,1997-02-01,['Strategic developments'],['Non-violent transfer of territory'],['Strategic developments'],4,0
LSO,1997-02-01,['Battles'],['Armed clash'],['Political violence'],2,5
MLI,1997-02-01,['Riots'],['Mob violence'],['Political violence'],1,0
NER,1997-02-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],3,0
NGA,1997-02-01,"['Battles', 'Violence against civilians', 'Riots', 'Explosions/Remote violence']","['Armed clash', 'Attack', 'Mob violence', 'Violent demonstration', 'Remote explosive/landmine/IED']","['Political violence', 'Demonstrations']",13,30
RWA,1997-02-01,"['Violence against civilians', 'Explosions/Remote violence', 'Battles']","['Attack', 'Grenade', 'Armed clash']",['Political violence'],15,65
SDN,1997-02-01,['Battles'],"['Armed clash', 'Government regains territory']",['Political violence'],7,86
SLE,1997-02-01,"['Battles', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Looting/property destruction', 'Government regains territory', 'Non-violent transfer of territory', 'Abduction/forced disappearance', 'Attack']","['Political violence', 'Strategic developments']",15,0
SOM,1997-02-01,['Violence against civilians'],['Attack'],['Political violence'],1,1
SWZ,1997-02-01,"['Protests', 'Strategic developments']","['Excessive force against protesters', 'Disrupted weapons use']","['Political violence; Demonstrations', 'Strategic developments']",2,0
TCD,1997-02-01,['Violence against civilians'],['Attack'],['Political violence'],3,4
TGO,1997-02-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
UGA,1997-02-01,"['Violence against civilians', 'Explosions/Remote violence']","['Attack', 'Air/drone strike']",['Political violence'],5,27
ZAF,1997-02-01,"['Violence against civilians', 'Protests', 'Strategic developments']","['Attack', 'Excessive force against protesters', 'Peaceful protest', 'Looting/property destruction', 'Arrests']","['Political violence', 'Political violence; Demonstrations', 'Demonstrations', 'Strategic developments']",7,6
AGO,1997-03-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],5,63
BDI,1997-03-01,"['Violence against civilians', 'Battles', 'Explosions/Remote violence']","['Attack', 'Armed clash', 'Remote explosive/landmine/IED']",['Political violence'],21,291
CAF,1997-03-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],5,7
CIV,1997-03-01,['Riots'],"['Mob violence', 'Violent demonstration']","['Political violence', 'Demonstrations']",4,15
CMR,1997-03-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],8,6
COD,1997-03-01,"['Strategic developments', 'Battles', 'Explosions/Remote violence', 'Protests', 'Riots', 'Violence against civilians']","['Change to group/activity', 'Non-state actor overtakes territory', 'Non-violent transfer of territory', 'Armed clash', 'Looting/property destruction', 'Remote explosive/landmine/IED', 'Peaceful protest', 'Violent demonstration', 'Attack', 'Other']","['Strategic developments', 'Political violence', 'Demonstrations']",52,145
COG,1997-03-01,"['Protests', 'Violence against civilians']","['Protest with intervention', 'Attack']","['Demonstrations', 'Political violence']",4,1
DZA,1997-03-01,['Violence against civilians'],['Attack'],['Political violence'],3,78
EGY,1997-03-01,"['Protests', 'Strategic developments', 'Violence against civilians']","['Peaceful protest', 'Protest with intervention', 'Change to group/activity', 'Attack']","['Demonstrations', 'Strategic developments', 'Political violence']",5,14
ETH,1997-03-01,['Protests'],"['Excessive force against protesters', 'Peaceful protest']","['Political violence; Demonstrations', 'Demonstrations']",2,0
GHA,1997-03-01,['Protests'],['Excessive force against protesters'],['Political violence; Demonstrations'],1,2
KEN,1997-03-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],6,179
LBR,1997-03-01,['Strategic developments'],['Non-violent transfer of territory'],['Strategic developments'],1,0
MAR,1997-03-01,['Violence against civilians'],['Attack'],['Political violence'],1,2
MRT,1997-03-01,['Riots'],['Violent demonstration'],['Demonstrations'],1,0
NGA,1997-03-01,"['Riots', 'Battles', 'Violence against civilians']","['Violent demonstration', 'Armed clash', 'Abduction/forced disappearance', 'Attack', 'Government regains territory', 'Mob violence']","['Demonstrations', 'Political violence']",18,45
RWA,1997-03-01,"['Violence against civilians', 'Battles']","['Attack', 'Armed clash']",['Political violence'],10,188
SDN,1997-03-01,"['Battles', 'Explosions/Remote violence', 'Strategic developments', 'Protests', 'Violence against civilians']","['Armed clash', 'Government regains territory', 'Non-state actor overtakes territory', 'Remote explosive/landmine/IED', 'Shelling/artillery/missile attack', 'Non-violent transfer of territory', 'Peaceful protest', 'Attack']","['Political violence', 'Strategic developments', 'Demonstrations']",57,527
SEN,1997-03-01,"['Riots', 'Battles', 'Violence against civilians']","['Violent demonstration', 'Armed clash', 'Abduction/forced disappearance']","['Demonstrations', 'Political violence']",7,32
SLE,1997-03-01,"['Battles', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Government regains territory', 'Non-state actor overtakes territory', 'Headquarters or base established', 'Looting/property destruction', 'Non-violent transfer of territory', 'Attack']","['Political violence', 'Strategic developments']",37,0
SOM,1997-03-01,['Battles'],['Armed clash'],['Political violence'],1,0
UGA,1997-03-01,"['Battles', 'Riots', 'Explosions/Remote violence', 'Violence against civilians']","['Armed clash', 'Violent demonstration', 'Air/drone strike', 'Attack']","['Political violence', 'Demonstrations']",6,11
ZAF,1997-03-01,"['Protests', 'Riots', 'Violence against civilians', 'Battles']","['Peaceful protest', 'Violent demonstration', 'Attack', 'Armed clash']","['Demonstrations', 'Political violence']",5,6
ZMB,1997-03-01,['Riots'],['Violent demonstration'],['Demonstrations'],5,0
AGO,1997-04-01,"['Battles', 'Protests', 'Violence against civilians']","['Government regains territory', 'Peaceful protest', 'Attack', 'Armed clash']","['Political violence', 'Demonstrations']",15,200
BDI,1997-04-01,"['Battles', 'Explosions/Remote violence', 'Violence against civilians']","['Armed clash', 'Remote explosive/landmine/IED', 'Attack']",['Political violence'],25,214
CAF,1997-04-01,['Battles'],['Armed clash'],['Political violence'],4,2
COD,1997-04-01,"['Battles', 'Explosions/Remote violence', 'Riots', 'Strategic developments', 'Violence against civilians', 'Protests']","['Armed clash', 'Non-state actor overtakes territory', 'Shelling/artillery/missile attack', 'Violent demonstration', 'Change to group/activity', 'Headquarters or base established', 'Non-violent transfer of territory', 'Attack', 'Peaceful protest', 'Protest with intervention', 'Government regains territory', 'Abduction/forced disappearance', 'Mob violence']","['Political violence', 'Demonstrations', 'Strategic developments']",43,58
COG,1997-04-01,['Protests'],['Peaceful protest'],['Demonstrations'],3,0
DZA,1997-04-01,"['Explosions/Remote violence', 'Violence against civilians']","['Remote explosive/landmine/IED', 'Attack']",['Political violence'],8,337
EGY,1997-04-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],2,4
ETH,1997-04-01,['Explosions/Remote violence'],"['Grenade', 'Remote explosive/landmine/IED']",['Political violence'],4,1
GNB,1997-04-01,['Riots'],['Violent demonstration'],['Demonstrations'],1,0
KEN,1997-04-01,"['Battles', 'Violence against civilians', 'Protests']","['Armed clash', 'Attack', 'Protest with intervention', 'Peaceful protest']","['Political violence', 'Demonstrations']",8,14
MLI,1997-04-01,"['Protests', 'Riots']","['Peaceful protest', 'Violent demonstration']",['Demonstrations'],3,0
MWI,1997-04-01,['Riots'],['Violent demonstration'],['Demonstrations'],1,0
NGA,1997-04-01,"['Violence against civilians', 'Battles', 'Protests']","['Attack', 'Armed clash', 'Peaceful protest']","['Political violence', 'Demonstrations']",16,105
RWA,1997-04-01,['Violence against civilians'],['Attack'],['Political violence'],4,200
SDN,1997-04-01,"['Battles', 'Explosions/Remote violence', 'Protests']","['Armed clash', 'Non-state actor overtakes territory', 'Air/drone strike', 'Shelling/artillery/missile attack', 'Remote explosive/landmine/IED', 'Protest with intervention', 'Government regains territory']","['Political violence', 'Demonstrations']",34,687
SEN,1997-04-01,['Riots'],['Violent demonstration'],['Demonstrations'],1,0
SLE,1997-04-01,"['Battles', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Headquarters or base established', 'Looting/property destruction', 'Non-violent transfer of territory', 'Government regains territory', 'Abduction/forced disappearance', 'Non-state actor overtakes territory']","['Political violence', 'Strategic developments']",27,0
SOM,1997-04-01,['Violence against civilians'],['Attack'],['Political violence'],1,2
TGO,1997-04-01,['Protests'],['Protest with intervention'],['Demonstrations'],1,0
UGA,1997-04-01,['Battles'],['Armed clash'],['Political violence'],3,188
ZAF,1997-04-01,"['Battles', 'Protests', 'Riots', 'Explosions/Remote violence', 'Violence against civilians']","['Armed clash', 'Protest with intervention', 'Peaceful protest', 'Violent demonstration', 'Grenade', 'Remote explosive/landmine/IED', 'Attack']","['Political violence', 'Demonstrations']",14,5
ZMB,1997-04-01,"['Protests', 'Riots']","['Peaceful protest', 'Mob violence']","['Demonstrations', 'Political violence']",3,0
ZWE,1997-04-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
AGO,1997-05-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack', 'Government regains territory']",['Political violence'],23,69
BDI,1997-05-01,"['Battles', 'Violence against civilians', 'Protests']","['Armed clash', 'Abduction/forced disappearance', 'Peaceful protest', 'Non-state actor overtakes territory', 'Attack']","['Political violence', 'Demonstrations']",17,323
CAF,1997-05-01,"['Battles', 'Protests']","['Armed clash', 'Peaceful protest', 'Protest with intervention']","['Political violence', 'Demonstrations']",3,0
CMR,1997-05-01,"['Protests', 'Battles']","['Peaceful protest', 'Armed clash']","['Demonstrations', 'Political violence']",2,0
COD,1997-05-01,"['Violence against civilians', 'Protests', 'Strategic developments', 'Battles', 'Riots']","['Attack', 'Peaceful protest', 'Change to group/activity', 'Armed clash', 'Non-state actor overtakes territory', 'Excessive force against protesters', 'Violent demonstration', 'Headquarters or base established', 'Looting/property destruction', 'Other', 'Sexual violence', 'Non-violent transfer of territory', 'Government regains territory']","['Political violence', 'Demonstrations', 'Strategic developments', 'Political violence; Demonstrations']",53,1319
COG,1997-05-01,['Battles'],['Armed clash'],['Political violence'],9,5
DZA,1997-05-01,"['Explosions/Remote violence', 'Violence against civilians']","['Remote explosive/landmine/IED', 'Attack']",['Political violence'],5,74
EGY,1997-05-01,"['Battles', 'Riots']","['Armed clash', 'Violent demonstration']","['Political violence', 'Demonstrations']",2,4
ETH,1997-05-01,['Violence against civilians'],['Attack'],['Political violence'],2,1
GMB,1997-05-01,['Violence against civilians'],['Attack'],['Political violence'],1,0
GNB,1997-05-01,['Riots'],['Violent demonstration'],['Demonstrations'],1,0
KEN,1997-05-01,"['Riots', 'Battles']","['Violent demonstration', 'Armed clash']","['Demonstrations', 'Political violence']",5,16
LBR,1997-05-01,['Strategic developments'],['Non-violent transfer of territory'],['Strategic developments'],1,0
LSO,1997-05-01,"['Riots', 'Violence against civilians']","['Mob violence', 'Attack']",['Political violence'],2,2
MAR,1997-05-01,['Violence against civilians'],['Attack'],['Political violence'],1,1
MLI,1997-05-01,"['Protests', 'Riots', 'Violence against civilians']","['Peaceful protest', 'Violent demonstration', 'Abduction/forced disappearance']","['Demonstrations', 'Political violence']",3,0
MOZ,1997-05-01,"['Protests', 'Riots']","['Peaceful protest', 'Protest with intervention', 'Violent demonstration']",['Demonstrations'],7,0
NER,1997-05-01,['Battles'],['Armed clash'],['Political violence'],1,0
NGA,1997-05-01,"['Explosions/Remote violence', 'Riots', 'Battles', 'Violence against civilians']","['Remote explosive/landmine/IED', 'Violent demonstration', 'Armed clash', 'Attack']","['Political violence', 'Demonstrations']",11,17
RWA,1997-05-01,"['Battles', 'Violence against civilians', 'Strategic developments']","['Armed clash', 'Abduction/forced disappearance', 'Attack', 'Change to group/activity']","['Political violence', 'Strategic developments']",10,93
SDN,1997-05-01,"['Battles', 'Strategic developments', 'Violence against civilians', 'Explosions/Remote violence', 'Protests']","['Non-state actor overtakes territory', 'Non-violent transfer of territory', 'Attack', 'Armed clash', 'Air/drone strike', 'Remote explosive/landmine/IED', 'Peaceful protest', 'Government regains territory']","['Political violence', 'Strategic developments', 'Demonstrations']",16,34
SLE,1997-05-01,"['Battles', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Government regains territory', 'Non-state actor overtakes territory', 'Looting/property destruction', 'Non-violent transfer of territory', 'Abduction/forced disappearance', 'Attack', 'Headquarters or base established']","['Political violence', 'Strategic developments']",172,0
UGA,1997-05-01,['Violence against civilians'],['Attack'],['Political violence'],2,152
ZAF,1997-05-01,"['Protests', 'Riots']","['Peaceful protest', 'Violent demonstration']",['Demonstrations'],6,0
AGO,1997-06-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack', 'Government regains territory']",['Political violence'],56,2415
BDI,1997-06-01,"['Battles', 'Explosions/Remote violence', 'Violence against civilians', 'Riots']","['Armed clash', 'Remote explosive/landmine/IED', 'Attack', 'Violent demonstration']","['Political violence', 'Demonstrations']",13,648
CAF,1997-06-01,"['Battles', 'Protests', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Protest with intervention', 'Agreement', 'Attack']","['Political violence', 'Demonstrations', 'Strategic developments']",9,100
CIV,1997-06-01,['Protests'],"['Peaceful protest', 'Protest with intervention']",['Demonstrations'],2,0
COD,1997-06-01,"['Battles', 'Protests', 'Riots', 'Violence against civilians']","['Armed clash', 'Peaceful protest', 'Mob violence', 'Violent demonstration', 'Attack']","['Political violence', 'Demonstrations']",7,3
COG,1997-06-01,"['Battles', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Non-state actor overtakes territory', 'Agreement', 'Change to group/activity', 'Looting/property destruction', 'Attack']","['Political violence', 'Strategic developments']",22,1
DZA,1997-06-01,['Violence against civilians'],['Attack'],['Political violence'],7,135
EGY,1997-06-01,"['Battles', 'Protests', 'Riots']","['Armed clash', 'Peaceful protest', 'Violent demonstration', 'Protest with intervention']","['Political violence', 'Demonstrations']",9,14
ETH,1997-06-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Government regains territory', 'Attack']",['Political violence'],5,67
KEN,1997-06-01,"['Battles', 'Protests', 'Riots', 'Violence against civilians']","['Armed clash', 'Peaceful protest', 'Mob violence', 'Violent demonstration', 'Attack']","['Political violence', 'Demonstrations']",7,1
LBR,1997-06-01,['Battles'],['Armed clash'],['Political violence'],7,0
MAR,1997-06-01,['Riots'],['Mob violence'],['Political violence'],1,4
MLI,1997-06-01,"['Protests', 'Riots']","['Peaceful protest', 'Violent demonstration']",['Demonstrations'],3,2
MOZ,1997-06-01,"['Violence against civilians', 'Protests']","['Attack', 'Peaceful protest']","['Political violence', 'Demonstrations']",2,0
MRT,1997-06-01,['Protests'],"['Peaceful protest', 'Protest with intervention']",['Demonstrations'],2,0
NAM,1997-06-01,['Protests'],['Peaceful protest'],['Demonstrations'],4,0
NER,1997-06-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Abduction/forced disappearance']",['Political violence'],2,4
NGA,1997-06-01,"['Battles', 'Violence against civilians', 'Riots', 'Protests', 'Explosions/Remote violence']","['Armed clash', 'Attack', 'Mob violence', 'Peaceful protest', 'Remote explosive/landmine/IED']","['Political violence', 'Demonstrations']",8,44
RWA,1997-06-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],7,70
SDN,1997-06-01,"['Battles', 'Strategic developments', 'Violence against civilians', 'Riots']","['Armed clash', 'Government regains territory', 'Non-state actor overtakes territory', 'Non-violent transfer of territory', 'Attack', 'Violent demonstration']","['Political violence', 'Strategic developments', 'Demonstrations']",12,996
SLE,1997-06-01,"['Battles', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Government regains territory', 'Non-state actor overtakes territory', 'Headquarters or base established', 'Looting/property destruction', 'Non-violent transfer of territory', 'Abduction/forced disappearance', 'Attack']","['Political violence', 'Strategic developments']",185,0
SOM,1997-06-01,"['Violence against civilians', 'Battles']","['Attack', 'Armed clash', 'Government regains territory']",['Political violence'],11,39
TGO,1997-06-01,['Violence against civilians'],['Attack'],['Political violence'],1,4
TZA,1997-06-01,['Violence against civilians'],['Attack'],['Political violence'],1,0
UGA,1997-06-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Government regains territory', 'Non-state actor overtakes territory', 'Attack']",['Political violence'],12,245
ZAF,1997-06-01,"['Protests', 'Battles']","['Peaceful protest', 'Armed clash']","['Demonstrations', 'Political violence']",3,8
AGO,1997-07-01,"['Violence against civilians', 'Battles', 'Strategic developments']","['Attack', 'Armed clash', 'Non-violent transfer of territory']","['Political violence', 'Strategic developments']",10,39
BDI,1997-07-01,"['Battles', 'Violence against civilians', 'Strategic developments']","['Armed clash', 'Attack', 'Sexual violence', 'Looting/property destruction']","['Political violence', 'Strategic developments']",14,355
CMR,1997-07-01,['Battles'],['Armed clash'],['Political violence'],1,0
COD,1997-07-01,"['Violence against civilians', 'Protests', 'Battles']","['Attack', 'Excessive force against protesters', 'Armed clash']","['Political violence', 'Political violence; Demonstrations']",18,687
COG,1997-07-01,"['Battles', 'Explosions/Remote violence']","['Armed clash', 'Shelling/artillery/missile attack']",['Political violence'],7,2
DZA,1997-07-01,"['Violence against civilians', 'Explosions/Remote violence']","['Attack', 'Remote explosive/landmine/IED']",['Political violence'],15,352
EGY,1997-07-01,['Battles'],['Armed clash'],['Political violence'],1,6
ETH,1997-07-01,['Battles'],['Armed clash'],['Political violence'],1,2
GMB,1997-07-01,['Battles'],['Armed clash'],['Political violence'],1,1
GNQ,1997-07-01,['Violence against civilians'],['Attack'],['Political violence'],1,0
KEN,1997-07-01,"['Violence against civilians', 'Protests', 'Riots', 'Battles']","['Attack', 'Excessive force against protesters', 'Violent demonstration', 'Armed clash', 'Peaceful protest']","['Political violence', 'Political violence; Demonstrations', 'Demonstrations']",14,37
LBR,1997-07-01,['Battles'],['Armed clash'],['Political violence'],1,0
LBY,1997-07-01,['Violence against civilians'],['Attack'],['Political violence'],1,1
MAR,1997-07-01,['Battles'],['Armed clash'],['Political violence'],1,0
MDG,1997-07-01,['Explosions/Remote violence'],"['Grenade', 'Remote explosive/landmine/IED']",['Political violence'],2,0
MOZ,1997-07-01,"['Protests', 'Violence against civilians']","['Peaceful protest', 'Attack']","['Demonstrations', 'Political violence']",2,0
NAM,1997-07-01,['Protests'],['Peaceful protest'],['Demonstrations'],3,0
NER,1997-07-01,"['Battles', 'Riots', 'Protests', 'Violence against civilians']","['Armed clash', 'Violent demonstration', 'Peaceful protest', 'Attack']","['Political violence', 'Demonstrations']",7,29
NGA,1997-07-01,"['Battles', 'Riots', 'Protests', 'Violence against civilians', 'Explosions/Remote violence']","['Armed clash', 'Violent demonstration', 'Peaceful protest', 'Attack', 'Remote explosive/landmine/IED']","['Political violence', 'Demonstrations']",7,7
RWA,1997-07-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],7,143
SDN,1997-07-01,"['Battles', 'Violence against civilians', 'Explosions/Remote violence', 'Riots']","['Government regains territory', 'Non-state actor overtakes territory', 'Attack', 'Remote explosive/landmine/IED', 'Violent demonstration', 'Armed clash', 'Air/drone strike']","['Political violence', 'Demonstrations']",20,128
SEN,1997-07-01,"['Protests', 'Violence against civilians']","['Protest with intervention', 'Attack']","['Demonstrations', 'Political violence']",3,3
SLE,1997-07-01,"['Battles', 'Strategic developments', 'Violence against civilians']","['Armed clash', 'Government regains territory', 'Headquarters or base established', 'Looting/property destruction', 'Non-violent transfer of territory', 'Attack', 'Non-state actor overtakes territory', 'Abduction/forced disappearance']","['Political violence', 'Strategic developments']",94,0
SOM,1997-07-01,['Violence against civilians'],['Abduction/forced disappearance'],['Political violence'],1,0
TCD,1997-07-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],2,40
TZA,1997-07-01,['Violence against civilians'],['Attack'],['Political violence'],2,6
UGA,1997-07-01,"['Battles', 'Explosions/Remote violence', 'Violence against civilians']","['Armed clash', 'Grenade', 'Attack']",['Political violence'],25,131
ZAF,1997-07-01,"['Protests', 'Battles', 'Violence against civilians']","['Peaceful protest', 'Armed clash', 'Attack']","['Demonstrations', 'Political violence']",9,15
ZMB,1997-07-01,['Riots'],['Violent demonstration'],['Demonstrations'],1,0
ZWE,1997-07-01,['Riots'],['Violent demonstration'],['Demonstrations'],2,0
AGO,1997-08-01,"['Violence against civilians', 'Battles']","['Attack', 'Armed clash', 'Government regains territory']",['Political violence'],15,53
BDI,1997-08-01,"['Battles', 'Explosions/Remote violence', 'Violence against civilians']","['Armed clash', 'Remote explosive/landmine/IED', 'Attack', 'Grenade', 'Abduction/forced disappearance']",['Political violence'],27,276
CIV,1997-08-01,['Battles'],['Armed clash'],['Political violence'],1,1
COD,1997-08-01,"['Battles', 'Protests', 'Violence against civilians', 'Strategic developments']","['Armed clash', 'Peaceful protest', 'Attack', 'Headquarters or base established']","['Political violence', 'Demonstrations', 'Strategic developments']",12,4
COG,1997-08-01,"['Strategic developments', 'Violence against civilians', 'Battles', 'Explosions/Remote violence']","['Headquarters or base established', 'Attack', 'Armed clash', 'Shelling/artillery/missile attack']","['Strategic developments', 'Political violence']",11,3
DJI,1997-08-01,['Battles'],['Armed clash'],['Political violence'],1,0
DZA,1997-08-01,"['Violence against civilians', 'Explosions/Remote violence']","['Attack', 'Remote explosive/landmine/IED']",['Political violence'],17,757
EGY,1997-08-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],2,5
ETH,1997-08-01,['Explosions/Remote violence'],['Remote explosive/landmine/IED'],['Political violence'],1,0
GAB,1997-08-01,['Battles'],['Armed clash'],['Political violence'],1,4
GNQ,1997-08-01,['Violence against civilians'],['Attack'],['Political violence'],1,0
KEN,1997-08-01,"['Battles', 'Riots', 'Violence against civilians']","['Armed clash', 'Mob violence', 'Attack', 'Violent demonstration']","['Political violence', 'Demonstrations']",26,70
MAR,1997-08-01,['Violence against civilians'],['Attack'],['Political violence'],1,1
MDG,1997-08-01,['Explosions/Remote violence'],"['Grenade', 'Remote explosive/landmine/IED']",['Political violence'],2,0
MLI,1997-08-01,['Riots'],['Violent demonstration'],['Demonstrations'],1,1
