iso3,month,event_type,sub_event_type,disorder_type,events,fatalities
ZMB,2005-11-01,"['Protests', 'Riots', 'Violence against civilians']","['Peaceful protest', 'Violent demonstration', 'Attack']","['Demonstrations', 'Political violence']",12,0
ZWE,2005-11-01,"['Riots', 'Protests', 'Violence against civilians']","['Violent demonstration', 'Peaceful protest', 'Attack']","['Demonstrations', 'Political violence']",7,0
BDI,2005-12-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],9,31
BFA,2005-12-01,['Protests'],['Peaceful protest'],['Demonstrations'],3,0
CAF,2005-12-01,"['Protests', 'Riots', 'Battles']","['Peaceful protest', 'Violent demonstration', 'Armed clash']","['Demonstrations', 'Political violence']",4,2
CIV,2005-12-01,"['Battles', 'Protests', 'Violence against civilians']","['Government regains territory', 'Non-state actor overtakes territory', 'Peaceful protest', 'Attack']","['Political violence', 'Demonstrations']",5,19
CMR,2005-12-01,['Protests'],['Peaceful protest'],['Demonstrations'],1,0
COD,2005-12-01,"['Battles', 'Violence against civilians', 'Strategic developments']","['Armed clash', 'Government regains territory', 'Abduction/forced disappearance', 'Attack', 'Looting/property destruction']","['Political violence', 'Strategic developments']",25,18
DZA,2005-12-01,"['Battles', 'Explosions/Remote violence']","['Armed clash', 'Remote explosive/landmine/IED']",['Political violence'],3,5
EGY,2005-12-01,"['Violence against civilians', 'Riots', 'Protests']","['Attack', 'Violent demonstration', 'Peaceful protest']","['Political violence', 'Demonstrations']",8,9
ERI,2005-12-01,['Strategic developments'],['Arrests'],['Strategic developments'],1,0
ETH,2005-12-01,"['Protests', 'Battles', 'Violence against civilians']","['Peaceful protest', 'Armed clash', 'Attack']","['Demonstrations', 'Political violence']",13,5
GMB,2005-12-01,['Violence against civilians'],['Attack'],['Political violence'],1,0
KEN,2005-12-01,"['Battles', 'Violence against civilians', 'Protests']","['Armed clash', 'Attack', 'Peaceful protest']","['Political violence', 'Demonstrations']",7,6
LBR,2005-12-01,['Protests'],"['Peaceful protest', 'Protest with intervention']",['Demonstrations'],2,0
LBY,2005-12-01,['Riots'],['Violent demonstration'],['Demonstrations'],1,0
MAR,2005-12-01,"['Violence against civilians', 'Protests']","['Attack', 'Peaceful protest']","['Political violence', 'Demonstrations']",2,1
MDG,2005-12-01,"['Riots', 'Violence against civilians']","['Mob violence', 'Attack']",['Political violence'],3,1
MRT,2005-12-01,['Protests'],['Protest with intervention'],['Demonstrations'],1,0
NGA,2005-12-01,"['Battles', 'Violence against civilians', 'Strategic developments', 'Protests', 'Riots']","['Armed clash', 'Attack', 'Looting/property destruction', 'Peaceful protest', 'Mob violence', 'Excessive force against protesters']","['Political violence', 'Strategic developments', 'Demonstrations', 'Political violence; Demonstrations']",13,6
RWA,2005-12-01,['Violence against civilians'],['Attack'],['Political violence'],1,0
SDN,2005-12-01,"['Violence against civilians', 'Battles', 'Strategic developments', 'Protests']","['Attack', 'Armed clash', 'Looting/property destruction', 'Protest with intervention']","['Political violence', 'Strategic developments', 'Demonstrations']",18,132
SEN,2005-12-01,"['Protests', 'Riots', 'Battles', 'Violence against civilians']","['Protest with intervention', 'Violent demonstration', 'Peaceful protest', 'Armed clash', 'Attack']","['Demonstrations', 'Political violence']",6,1
SOM,2005-12-01,"['Battles', 'Protests', 'Violence against civilians', 'Strategic developments', 'Riots']","['Armed clash', 'Peaceful protest', 'Attack', 'Other', 'Mob violence']","['Political violence', 'Demonstrations', 'Strategic developments']",28,9
TCD,2005-12-01,"['Protests', 'Battles', 'Violence against civilians']","['Excessive force against protesters', 'Armed clash', 'Government regains territory', 'Attack']","['Political violence; Demonstrations', 'Political violence']",15,315
UGA,2005-12-01,"['Battles', 'Violence against civilians']","['Armed clash', 'Attack']",['Political violence'],38,85
ZAF,2005-12-01,"['Protests', 'Riots', 'Violence against civilians']","['Peaceful protest', 'Violent demonstration', 'Attack']","['Demonstrations', 'Political violence']",5,2
ZMB,2005-12-01,['Riots'],['Violent demonstration'],['Demonstrations'],2,0
ZWE,2005-12-01,"['Protests', 'Violence against civilians']","['Peaceful protest', 'Attack']","['Demonstrations', 'Political violence']",8,0
BDI,2006-01-01,"['Battles', 'Explosions/Remote violence', 'Violence against civilians', 'Strategic developments']","['Armed clash', 'Grenade', 'Attack', 'Change to group/activity']","['Political violence', 'Strategic developments']",8,7
