iso3,month,monthly_displacement
AFG,2024-04-01,0.0
AFG,2024-05-01,0.0
AFG,2024-06-01,0.0
AFG,2024-07-01,0.0
AFG,2024-08-01,0.0
AFG,2024-09-01,820.0
AFG,2024-10-01,0.0
AFG,2024-11-01,0.0
AFG,2024-12-01,1000.0
AFG,2025-01-01,0.0
AFG,2025-02-01,5359.2727272
AFG,2025-03-01,2105.7272727
AFG,2025-04-01,0.0
AFG,2025-05-01,0.0
AFG,2025-06-01,0.0
AFG,2025-07-01,0.0
AFG,2025-08-01,0.0
AFG,2025-09-01,0.0
AFG,2025-10-01,160800.0
AFG,2025-11-01,0.0
AFG,2025-12-01,0.0
AFG,2026-01-01,0.0
AFG,2026-02-01,42903.75
AFG,2026-03-01,128711.25
AFG,2026-04-01,0.0
AGO,2018-01-01,0.0
AGO,2018-02-01,0.0
AGO,2018-03-01,0.0
AGO,2018-04-01,0.0
AGO,2018-05-01,0.0
AGO,2018-06-01,0.0
AGO,2018-07-01,0.0
AGO,2018-08-01,0.0
AGO,2018-09-01,0.0
AGO,2018-10-01,0.0
AGO,2018-11-01,0.0
AGO,2018-12-01,0.0
AGO,2019-01-01,0.0
AGO,2019-02-01,0.0
AGO,2019-03-01,0.0
AGO,2019-04-01,0.0
AGO,2019-05-01,0.0
AGO,2019-06-01,0.0
AGO,2019-07-01,0.0
AGO,2019-08-01,0.0
AGO,2019-09-01,0.0
AGO,2019-10-01,0.0
AGO,2019-11-01,0.0
AGO,2019-12-01,0.0
AGO,2020-01-01,0.0
AGO,2020-02-01,0.0
AGO,2020-03-01,0.0
AGO,2020-04-01,0.0
AGO,2020-05-01,0.0
AGO,2020-06-01,0.0
AGO,2020-07-01,49.0
AGO,2020-08-01,0.0
AGO,2020-09-01,0.0
AGO,2020-10-01,0.0
AGO,2020-11-01,0.0
AGO,2020-12-01,0.0
AGO,2021-01-01,0.0
AGO,2021-02-01,0.0
AGO,2021-03-01,0.0
AGO,2021-04-01,0.0
AGO,2021-05-01,0.0
AGO,2021-06-01,0.0
AGO,2021-07-01,0.0
AGO,2021-08-01,0.0
AGO,2021-09-01,0.0
AGO,2021-10-01,0.0
AGO,2021-11-01,0.0
AGO,2021-12-01,0.0
AGO,2022-01-01,0.0
AGO,2022-02-01,0.0
AGO,2022-03-01,0.0
AGO,2022-04-01,0.0
AGO,2022-05-01,0.0
AGO,2022-06-01,0.0
AGO,2022-07-01,0.0
AGO,2022-08-01,0.0
AGO,2022-09-01,0.0
AGO,2022-10-01,0.0
AGO,2022-11-01,0.0
AGO,2022-12-01,0.0
AGO,2023-01-01,0.0
AGO,2023-02-01,0.0
AGO,2023-03-01,0.0
AGO,2023-04-01,0.0
AGO,2023-05-01,0.0
AGO,2023-06-01,0.0
AGO,2023-07-01,0.0
AGO,2023-08-01,0.0
AGO,2023-09-01,0.0
AGO,2023-10-01,0.0
AGO,2023-11-01,0.0
AGO,2023-12-01,0.0
AGO,2024-01-01,0.0
AGO,2024-02-01,0.0
AGO,2024-03-01,0.0
AGO,2024-04-01,0.0
AGO,2024-05-01,0.0
AGO,2024-06-01,0.0
AGO,2024-07-01,0.0
AGO,2024-08-01,0.0
AGO,2024-09-01,0.0
AGO,2024-10-01,0.0
AGO,2024-11-01,0.0
AGO,2024-12-01,0.0
AGO,2025-01-01,0.0
AGO,2025-02-01,0.0
AGO,2025-03-01,0.0
AGO,2025-04-01,0.0
AGO,2025-05-01,0.0
AGO,2025-06-01,0.0
AGO,2025-07-01,0.0
AGO,2025-08-01,0.0
AGO,2025-09-01,0.0
AGO,2025-10-01,0.0
AGO,2025-11-01,0.0
AGO,2025-12-01,0.0
AGO,2026-01-01,0.0
AGO,2026-02-01,0.0
AGO,2026-03-01,0.0
AGO,2026-04-01,0.0
ARM,2018-01-01,0.0
ARM,2018-02-01,0.0
ARM,2018-03-01,0.0
ARM,2018-04-01,0.0
ARM,2018-05-01,0.0
ARM,2018-06-01,0.0
ARM,2018-07-01,0.0
ARM,2018-08-01,0.0
ARM,2018-09-01,0.0
ARM,2018-10-01,0.0
ARM,2018-11-01,0.0
ARM,2018-12-01,0.0
ARM,2019-01-01,0.0
ARM,2019-02-01,0.0
ARM,2019-03-01,0.0
ARM,2019-04-01,0.0
ARM,2019-05-01,0.0
ARM,2019-06-01,0.0
ARM,2019-07-01,0.0
ARM,2019-08-01,0.0
ARM,2019-09-01,0.0
ARM,2019-10-01,0.0
ARM,2019-11-01,0.0
ARM,2019-12-01,0.0
ARM,2020-01-01,0.0
ARM,2020-02-01,0.0
ARM,2020-03-01,0.0
ARM,2020-04-01,0.0
ARM,2020-05-01,0.0
ARM,2020-06-01,0.0
ARM,2020-07-01,0.0
ARM,2020-08-01,0.0
ARM,2020-09-01,0.0
ARM,2020-10-01,0.0
ARM,2020-11-01,0.0
ARM,2020-12-01,0.0
ARM,2021-01-01,37.0
ARM,2021-02-01,0.0
ARM,2021-03-01,0.0
ARM,2021-04-01,0.0
ARM,2021-05-01,0.0
ARM,2021-06-01,0.0
ARM,2021-07-01,0.0
ARM,2021-08-01,0.0
ARM,2021-09-01,0.0
ARM,2021-10-01,0.0
ARM,2021-11-01,0.0
ARM,2021-12-01,0.0
ARM,2022-01-01,0.0
ARM,2022-02-01,0.0
ARM,2022-03-01,0.0
ARM,2022-04-01,0.0
ARM,2022-05-01,0.0
ARM,2022-06-01,0.0
ARM,2022-07-01,0.0
ARM,2022-08-01,0.0
ARM,2022-09-01,7599.999999
ARM,2022-10-01,0.0
ARM,2022-11-01,0.0
ARM,2022-12-01,0.0
ARM,2023-01-01,0.0
ARM,2023-02-01,0.0
ARM,2023-03-01,0.0
ARM,2023-04-01,0.0
ARM,2023-05-01,0.0
ARM,2023-06-01,0.0
ARM,2023-07-01,0.0
ARM,2023-08-01,0.0
ARM,2023-09-01,0.0
ARM,2023-10-01,0.0
ARM,2023-11-01,0.0
ARM,2023-12-01,0.0
ARM,2024-01-01,0.0
ARM,2024-02-01,0.0
ARM,2024-03-01,0.0
ARM,2024-04-01,0.0
ARM,2024-05-01,0.0
ARM,2024-06-01,0.0
ARM,2024-07-01,0.0
ARM,2024-08-01,0.0
ARM,2024-09-01,0.0
ARM,2024-10-01,0.0
ARM,2024-11-01,0.0
ARM,2024-12-01,0.0
ARM,2025-01-01,0.0
ARM,2025-02-01,0.0
ARM,2025-03-01,0.0
ARM,2025-04-01,0.0
ARM,2025-05-01,0.0
ARM,2025-06-01,0.0
ARM,2025-07-01,0.0
ARM,2025-08-01,0.0
ARM,2025-09-01,0.0
ARM,2025-10-01,0.0
ARM,2025-11-01,0.0
ARM,2025-12-01,0.0
ARM,2026-01-01,0.0
ARM,2026-02-01,0.0
ARM,2026-03-01,0.0
ARM,2026-04-01,0.0
AUS,2018-01-01,0.0
AUS,2018-02-01,0.0
AUS,2018-03-01,0.0
AUS,2018-04-01,0.0
AUS,2018-05-01,0.0
AUS,2018-06-01,0.0
AUS,2018-07-01,0.0
AUS,2018-08-01,0.0
AUS,2018-09-01,0.0
AUS,2018-10-01,0.0
AUS,2018-11-01,0.0
AUS,2018-12-01,0.0
AUS,2019-01-01,0.0
AUS,2019-02-01,0.0
AUS,2019-03-01,0.0
AUS,2019-04-01,0.0
AUS,2019-05-01,0.0
AUS,2019-06-01,0.0
AUS,2019-07-01,0.0
AUS,2019-08-01,0.0
AUS,2019-09-01,0.0
AUS,2019-10-01,0.0
AUS,2019-11-01,0.0
AUS,2019-12-01,0.0
AUS,2020-01-01,0.0
AUS,2020-02-01,0.0
AUS,2020-03-01,0.0
AUS,2020-04-01,0.0
AUS,2020-05-01,0.0
AUS,2020-06-01,0.0
AUS,2020-07-01,0.0
AUS,2020-08-01,0.0
AUS,2020-09-01,0.0
AUS,2020-10-01,0.0
AUS,2020-11-01,0.0
AUS,2020-12-01,0.0
AUS,2021-01-01,0.0
AUS,2021-02-01,0.0
AUS,2021-03-01,0.0
AUS,2021-04-01,0.0
AUS,2021-05-01,0.0
AUS,2021-06-01,0.0
AUS,2021-07-01,0.0
AUS,2021-08-01,0.0
AUS,2021-09-01,0.0
AUS,2021-10-01,0.0
AUS,2021-11-01,0.0
AUS,2021-12-01,0.0
AUS,2022-01-01,0.0
AUS,2022-02-01,0.0
AUS,2022-03-01,0.0
AUS,2022-04-01,0.0
AUS,2022-05-01,0.0
AUS,2022-06-01,0.0
AUS,2022-07-01,0.0
AUS,2022-08-01,0.0
AUS,2022-09-01,0.0
AUS,2022-10-01,0.0
AUS,2022-11-01,0.0
AUS,2022-12-01,0.0
AUS,2023-01-01,0.0
AUS,2023-02-01,0.0
AUS,2023-03-01,0.0
AUS,2023-04-01,0.0
AUS,2023-05-01,0.0
AUS,2023-06-01,0.0
AUS,2023-07-01,0.0
AUS,2023-08-01,0.0
AUS,2023-09-01,0.0
AUS,2023-10-01,0.0
AUS,2023-11-01,0.0
AUS,2023-12-01,0.0
AUS,2024-01-01,0.0
AUS,2024-02-01,0.0
AUS,2024-03-01,0.0
AUS,2024-04-01,0.0
AUS,2024-05-01,0.0
AUS,2024-06-01,0.0
AUS,2024-07-01,0.0
AUS,2024-08-01,0.8
AUS,2024-09-01,2.2
AUS,2024-10-01,0.0
AUS,2024-11-01,0.0
AUS,2024-12-01,0.0
AUS,2025-01-01,0.0
AUS,2025-02-01,0.0
AUS,2025-03-01,0.0
AUS,2025-04-01,0.0
AUS,2025-05-01,0.0
AUS,2025-06-01,0.0
AUS,2025-07-01,0.0
AUS,2025-08-01,0.0
AUS,2025-09-01,0.0
AUS,2025-10-01,0.0
AUS,2025-11-01,0.0
AUS,2025-12-01,0.0
AUS,2026-01-01,0.0
AUS,2026-02-01,0.0
AUS,2026-03-01,0.0
AUS,2026-04-01,0.0
AZE,2018-01-01,0.0
AZE,2018-02-01,0.0
AZE,2018-03-01,0.0
AZE,2018-04-01,0.0
AZE,2018-05-01,0.0
AZE,2018-06-01,0.0
AZE,2018-07-01,0.0
AZE,2018-08-01,0.0
AZE,2018-09-01,0.0
AZE,2018-10-01,0.0
AZE,2018-11-01,0.0
AZE,2018-12-01,0.0
AZE,2019-01-01,0.0
AZE,2019-02-01,0.0
AZE,2019-03-01,0.0
AZE,2019-04-01,0.0
AZE,2019-05-01,0.0
AZE,2019-06-01,0.0
AZE,2019-07-01,0.0
AZE,2019-08-01,0.0
AZE,2019-09-01,0.0
AZE,2019-10-01,0.0
AZE,2019-11-01,0.0
AZE,2019-12-01,0.0
AZE,2020-01-01,0.0
AZE,2020-02-01,0.0
AZE,2020-03-01,0.0
AZE,2020-04-01,0.0
AZE,2020-05-01,0.0
AZE,2020-06-01,0.0
AZE,2020-07-01,0.0
AZE,2020-08-01,0.0
AZE,2020-09-01,0.0
AZE,2020-10-01,145180.00000499998
AZE,2020-11-01,0.0
AZE,2020-12-01,0.0
AZE,2021-01-01,0.0
