feature,importance
logfat_risk3_3m_avg,0.13557122080792397
logfat_risk3_lag1,0.10753631073678313
logfat_risk3_lag2,0.10481359318130604
logfat_risk_3,0.07715449460216245
logfat_risk3_6m_avg,0.07449614280863569
logfat_risk_12,0.06599839859843933
logfat_risk12_6m_avg,0.058713210818602715
logfat_risk12_3m_avg,0.05020293951861981
risk12_lag1,0.0341161523423063
logfat_risk12_lag2,0.033529214139109274
risk12_lag2,0.028129809673213085
risk12_3m_avg,0.025299222577566845
logfat_risk12_lag1,0.022297109432401072
risk_12,0.021679163346712434
risk3_3m_avg,0.017949312036911764
risk3_lag2,0.01722395357411128
risk12_6m_avg,0.015914145701341087
risk3_change_2m,0.014232959597614728
logfat_risk12_change_2m,0.013218599301143323
risk3_lag1,0.012905032620965928
logfat_risk3_change_2m,0.012116679964970173
risk3_6m_avg,0.01201414722872822
risk12_change_2m,0.011523297511282555
risk_3,0.011348548807615022
hdx_3m_sum,0.0064094405120322644
hdx_medium_3m_sum,0.003425806187978878
risk_gt_025,0.0031512420495125337
mean_value_hdx,0.0018985471797845958
hdx_value,0.0018489572737611544
hdx_high_3m_sum,0.0017121711657808972
logfat_risk_12_high_last_5m,0.0016073344506942404
hdx_med_high_count,0.0007104272467237943
hdx_alert_Medium concern,0.0003658535878672952
logfat_risk_3_high_last_5m,0.00033032875528444004
logfat_risk_3_gt_4,0.00020073638270727174
logfat_risk_12_above_5,0.00019560797446242504
hdx_alert_High concern,0.0001598883049440838
